"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2000;"STOC-rozo";"Long";0,0385893246187364;0,121187363834423;0,212962962962963;0,303664580073031;0,385296035472092
2001;"STOC-rozo";"Long";0,00655737704918033;0,0606060606060606;0,138888888888889;0,230769230769231;0,399378881987578
2002;"STOC-rozo";"Long";0,00576923076923077;0,0754716981132075;0,238805970149254;0,457142857142857;0,964493670886075
2003;"STOC-rozo";"Long";0,0648313492063492;0,121479974968711;0,169856459330144;0,225631313131313;0,32536231884058
2004;"STOC-rozo";"Long";0,00338983050847458;0,0909090909090909;0,209677419354839;0,310344827586207;0,545755693581781
2005;"STOC-rozo";"Long";0,00416666666666667;0,094187675070028;0,174242424242424;0,207927489177489;0,317424242424242
2006;"STOC-rozo";"Long";0,0399728997289973;0,21832884097035;0,340909090909091;0,403831982313928;0,5625
2007;"STOC-rozo";"Long";0,105128205128205;0,306451612903226;0,395833333333333;0,681818181818182;0,933201581027668
2008;"STOC-rozo";"Long";0,0136363636363636;0,227272727272727;0,372093023255814;0,472222222222222;0,69789247311828
2009;"STOC-rozo";"Long";0,141091954022989;0,380952380952381;0,477272727272727;0,590909090909091;0,882132728304027
2010;"STOC-rozo";"Long";0,0826666666666667;0,166666666666667;0,197368421052632;0,344827586206897;0,797719298245614
2011;"STOC-rozo";"Long";0,0874384236453202;0,172511312217195;0,226666666666667;0,369325812516788;0,90036231884058
2012;"STOC-rozo";"Long";0,0510765550239235;0,199874686716792;0,27336860670194;0,450103032087136;0,52047619047619
2013;"STOC-rozo";"Long";0,0176470588235294;0,162162162162162;0,209677419354839;0,298507462686567;0,612539184952978
2014;"STOC-rozo";"Long";0,126108374384236;0,379310344827586;0,394736842105263;0,456521739130435;0,744588744588745
2015;"STOC-rozo";"Long";0,00585106382978723;0,113900634249471;0,28270944741533;0,320833333333333;0,442666757791143
2016;"STOC-rozo";"Long";0,0636856368563686;0,167294413057125;0,2;0,37093023255814;0,45979758828596
2017;"STOC-rozo";"Long";0,0416666666666667;0,301942567567568;0,419871794871795;0,6496003996004;1,14692371280113
2018;"STOC-rozo";"Long";0,0115384615384615;0,148148148148148;0,3;0,4;0,923971377459749
2019;"STOC-rozo";"Long";0,0597222222222222;0,143892339544513;0,25;0,353846153846154;0,67688679245283
2020;"STOC-rozo";"Long";0;0;0;0,137931034482759;0,437322515212982
1989;"Terrestre";"Long";0,0102564102564103;0,102564102564103;0,205128205128205;0,285490931832395;0,357817385866166
1990;"Terrestre";"Long";0,0293067226890756;0,130894870025305;0,189393939393939;0,283730158730159;0,456914759869248
