"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2016;"AD";"Court";0;0;0,0869565217391304;0,0967741935483871;0,144677419354839;"STOC-rozo"
2017;"AD";"Court";0,00694444444444444;0,0555555555555556;0,0777777777777778;0,115909090909091;0,142755681818182;"STOC-rozo"
2018;"AD";"Court";0,00800000000000001;0,08;0,136363636363636;0,136363636363636;0,138636363636364;"STOC-rozo"
2019;"AD";"Court";0;0;0;0;0,164516129032258;"STOC-rozo"
1999;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2001;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2002;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2003;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2004;"JUV";"Court";0;0;0;0;0,0795454545454545;"STOC-rozo"
2005;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2006;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2007;"JUV";"Court";0;0;0;0;0,00368020304568528;"STOC-rozo"
2008;"JUV";"Court";0;0;0;0;0,0583333333333333;"STOC-rozo"
2009;"JUV";"Court";0;0;0;0;0,0496392496392497;"STOC-rozo"
2010;"JUV";"Court";0;0;0;0;0,0242647058823529;"STOC-rozo"
2011;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2012;"JUV";"Court";0;0;0;0;0;"STOC-rozo"
2013;"JUV";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"STOC-rozo"
2014;"JUV";"Court";0;0;0;0;0,0728571428571428;"STOC-rozo"
2015;"JUV";"Court";0,00294117647058824;0,0294117647058824;0,0588235294117647;0,121212121212121;0,154226475279107;"STOC-rozo"
2016;"JUV";"Court";0;0;0,0256410256410256;0,0384615384615385;0,0821070234113713;"STOC-rozo"
2017;"JUV";"Court";0;0;0,0222222222222222;0,0282193958664547;0,0816844919786096;"STOC-rozo"
2018;"JUV";"Court";0;0;0,0142857142857143;0,0446428571428572;0,119153225806452;"STOC-rozo"
2019;"JUV";"Court";0;0;0;0,0227272727272727;0,0454545454545455;"STOC-rozo"
1997;"AD";"Long";0,111763392857143;0,133258928571429;0,157142857142857;0,157518796992481;0,157857142857143;"STOC-rozo"
1998;"AD";"Long";0,0660522273425499;0,0798771121351766;0,0952380952380952;0,116849816849817;0,136300366300366;"STOC-rozo"
1999;"AD";"Long";0,00461538461538462;0,0461538461538462;0,0923076923076923;0,133110367892977;0,169832775919732;"STOC-rozo"
2000;"AD";"Long";0,0282311516155758;0,0287903893951947;0,0294117647058824;0,0378540305010893;0,0454520697167756;"STOC-rozo"
2001;"AD";"Long";0;0,0303030303030303;0,111111111111111;0,142857142857143;0,159467040673212;"STOC-rozo"
2002;"AD";"Long";0;0;0,0149253731343284;0,0923076923076923;0,194545454545455;"STOC-rozo"
2003;"AD";"Long";0;0;0,0374269005847953;0,156146572104019;0,195925925925926;"STOC-rozo"
2004;"AD";"Long";0;0;0;0,189189189189189;0,236758893280632;"STOC-rozo"
2005;"AD";"Long";0,00714285714285714;0,0692640692640693;0,0972222222222222;0,214285714285714;0,292857142857143;"STOC-rozo"
2006;"AD";"Long";0;0;0;0,0916666666666667;0,271103896103896;"STOC-rozo"
