"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2001;"Terrestre";1,65816326530612;1,88775510204082;2,14285714285714;3,07142857142857;3,90714285714286;"ANTTRI"
2002;"Terrestre";0,754560810810811;0,795608108108108;1,01765030336459;1,41836734693878;1,94183673469388;"ANTTRI"
2003;"Terrestre";0,9;1,11224489795918;1,57894736842105;2;2,18888888888889;"ANTTRI"
2004;"Terrestre";0,931578947368421;1,57894736842105;1,76470588235294;2,5;9,2;"ANTTRI"
2005;"Terrestre";1,46240601503759;1,75;2;2,45833333333333;5,84117647058824;"ANTTRI"
2006;"Terrestre";1,51381578947368;1,64473684210526;2,07142857142857;2,90441176470588;8,97058823529412;"ANTTRI"
2007;"Terrestre";1,18846153846154;1,5;1,76470588235294;2,14285714285714;4,21428571428572;"ANTTRI"
2008;"Terrestre";0,782142857142857;1;2,5;3;4,23529411764706;"ANTTRI"
2009;"Terrestre";0,842045454545455;1,53896103896104;2,14285714285714;3,0982905982906;4,58333333333333;"ANTTRI"
2010;"Terrestre";0,894230769230769;1,17788461538462;1,33928571428571;1,60714285714286;3,78787878787879;"ANTTRI"
2011;"Terrestre";2,90225563909774;4,07894736842105;5,33333333333333;5,72727272727273;7,275;"ANTTRI"
2012;"Terrestre";1,01785714285714;2,46428571428571;4,22727272727273;6,51737967914439;9,3870320855615;"ANTTRI"
2013;"Terrestre";0,822321428571429;1,47321428571429;2,85714285714286;5;7,7;"ANTTRI"
2014;"Terrestre";0,998809523809524;2,1474358974359;3,01818181818182;4,640625;6,6484375;"ANTTRI"
2015;"Terrestre";1,01428571428571;2,26973684210526;2,5;3,27272727272727;7,30681818181818;"ANTTRI"
2016;"Terrestre";1,23786115569823;2,38061797752809;2,67857142857143;3;3;"ANTTRI"
2017;"Terrestre";1,39673561732385;2,04831932773109;2,65384615384615;3,05357142857143;5,5125;"ANTTRI"
2018;"Terrestre";1,91517857142857;2,14285714285714;3;4,5;8,55;"ANTTRI"
2019;"Terrestre";1,58035714285714;2,18406593406593;2,65384615384615;5,25;7,3125;"ANTTRI"
2020;"Terrestre";1,46785714285714;1,82142857142857;2,21428571428571;2,60714285714286;2,96071428571429;"ANTTRI"
2001;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"CAPEUR"
2004;"Terrestre";1,58359133126935;1,62538699690402;1,671826625387;1,71826625386997;1,76006191950464;"CAPEUR"
2005;"Terrestre";0,910714285714286;1,39285714285714;1,92857142857143;2,46428571428571;2,94642857142857;"CAPEUR"
2008;"Terrestre";1,44047619047619;1,54761904761905;1,66666666666667;1,83333333333333;1,98333333333333;"CAPEUR"
2009;"Terrestre";2,1;3;4;5;5,9;"CAPEUR"
2010;"Terrestre";0,889285714285714;1,17857142857143;1,5;1,82142857142857;2,11071428571429;"CAPEUR"
2011;"Terrestre";3;3;3;3;3;"CAPEUR"
2012;"Terrestre";1,61447368421053;1,93421052631579;2,28947368421053;2,64473684210526;2,96447368421053;"CAPEUR"
2013;"Terrestre";3;3;3;3;3;"CAPEUR"
2014;"Terrestre";0,897619047619048;1,26190476190476;1,66666666666667;2,33333333333333;2,93333333333333;"CAPEUR"
2015;"Terrestre";9;9;9;9;9;"CAPEUR"
2016;"Terrestre";1,37229904926534;1,58815903197926;1,82800345721694;2,06784788245462;2,28370786516854;"CAPEUR"
2017;"Terrestre";1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;1,07142857142857;"CAPEUR"
2018;"Terrestre";1,625;2,03947368421053;2,5;2,75;2,975;"CAPEUR"
2019;"Terrestre";1,35408042578356;1,40597279716144;1,46363098758131;1,52128917800118;1,57318154937907;"CAPEUR"
2020;"Terrestre";2,30769230769231;2,30769230769231;2,30769230769231;2,30769230769231;2,30769230769231;"CAPEUR"
1989;"Terrestre";1,44230769230769;1,44230769230769;1,44230769230769;1,44230769230769;1,44230769230769;"CARCHL"
1990;"Terrestre";0,65625;0,9375;0,9375;1,09090909090909;2,03766233766234;"CARCHL"
1991;"Terrestre";1,72633928571429;1,83482142857143;2,1875;2,5;2,5;"CARCHL"
1992;"Terrestre";0,547814685314685;0,569055944055944;0,788461538461538;1,17857142857143;1,66071428571429;"CARCHL"
1993;"Terrestre";1,17908653846154;1,40625;1,875;3;4,15714285714286;"CARCHL"
1994;"Terrestre";0,594642857142857;0,754120879120879;0,931318681318681;1,10851648351648;1,26799450549451;"CARCHL"
1995;"Terrestre";0,601648351648352;0,824175824175824;1,07142857142857;1,53571428571429;1,95357142857143;"CARCHL"
1996;"Terrestre";0,838235294117647;0,882352941176471;1,15384615384615;1,5;4,00714285714286;"CARCHL"
1998;"Terrestre";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"CARCHL"
1999;"Terrestre";1,67483108108108;2,15371621621622;2,68581081081081;3,21790540540541;3,69679054054054;"CARCHL"
2000;"Terrestre";0,636352040816327;0,830357142857143;0,9375;1,71875;2,578125;"CARCHL"
2001;"Terrestre";1,20576923076923;1,5;2,22222222222222;2,53030303030303;3,0933014354067;"CARCHL"
2002;"Terrestre";0,7875;1,1625;1,42857142857143;2,2962962962963;6,15064102564103;"CARCHL"
2003;"Terrestre";0,907142857142857;1,65485829959514;2,33333333333333;3,57894736842105;15,5608974358974;"CARCHL"
2004;"Terrestre";1;1,53021442495127;2;3,97368421052632;8,15;"CARCHL"
2005;"Terrestre";0,8625;1,81985294117647;2,5;4;5,34375;"CARCHL"
2006;"Terrestre";1,10652173913043;1,53947368421053;2,88461538461538;5,65789473684211;8,3125;"CARCHL"
2007;"Terrestre";0,921428571428571;1,22909698996656;2;3,64035087719298;5,54829545454546;"CARCHL"
2008;"Terrestre";0,910714285714286;1,41233766233766;2,30769230769231;3,03947368421053;3,59375;"CARCHL"
