"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"PRUMOD";2001;"AD";"Court";16,7605633802817;18,4722222222222;19,2253521126761;20,1320187165775;23,6687254351488;"Terrestre"
"PYRULA";2001;"AD";"Court";18,7048674242424;20,3117236024845;20,860119047619;22,3863782051282;25,6737274096386;"Terrestre"
"SYLATR";2001;"AD";"Court";14,8986486486486;16,4407894736842;17,1164383561644;18,375;21,56;"Terrestre"
"TROTRO";2001;"AD";"Court";8,0471373224279;9,38297872340426;10;10,6841304347826;12,4128989361702;"Terrestre"
"TURMER";2001;"AD";"Court";75,6240458015267;83,0681818181818;86,9318181818182;92,1923076923077;104,497435052711;"Terrestre"
"TURPHI";2001;"AD";"Court";57,9049054621849;63,8318965517241;67,2314516129032;71,4051724137931;84,3973748473748;"Terrestre"
"AEGCAU";2002;"AD";"Court";7,18300847457627;7,86147741147741;8,23015873015873;8,67797619047619;9,52809917355372;"Terrestre"
"CETCET";2002;"AD";"Court";11,1152988215488;12,5074873453318;14,0594795539033;14,8660377358491;17,1563636363636;"Terrestre"
"ERIRUB";2002;"AD";"Court";14,9366300093197;15,891156462585;16,6137931034483;17,5;22,1159154929577;"Terrestre"
"FRICOE";2002;"AD";"Court";18,9975348432056;20,493253968254;21,1849329205366;22,5202810180276;23,9571428571428;"Terrestre"
"PARCAE";2002;"AD";"Court";9,04354838709678;10,0079365079365;10,4;11;11,9771653543307;"Terrestre"
"PARMAJ";2002;"AD";"Court";15,0342465753425;16,8882042253521;17,4657534246575;18,256237006237;20,4564144736842;"Terrestre"
"PASDOM";2002;"AD";"Court";20,6577456266475;26,0637957317073;27,6006097560976;28,2577004219409;30,3363840772818;"Terrestre"
"PHYCOL";2002;"AD";"Court";6,43636363636364;7,13709677419355;7,61290322580645;8;9,56756756756757;"Terrestre"
"PRUMOD";2002;"AD";"Court";16,841095890411;18,446365248227;19,3141791044776;20,3840174129353;23,6637369791667;"Terrestre"
"PYRULA";2002;"AD";"Court";18,3375;20,2240740740741;21,0455696202532;22,2703488372093;24,959375;"Terrestre"
"SYLATR";2002;"AD";"Court";15,0957384559557;16,3747184684685;17,1164383561644;18,375;21,2833189655172;"Terrestre"
"TROTRO";2002;"AD";"Court";8,09231792144026;9,2971052631579;10;10,3653846153846;11,468085106383;"Terrestre"
"TURMER";2002;"AD";"Court";77,52;83,8809681697613;87,000276854928;91,0897160068847;104,320081967213;"Terrestre"
"TURPHI";2002;"AD";"Court";58,727455660412;64,6434782608696;68,5811965811966;72,6153846153846;84,9621232568601;"Terrestre"
"AEGCAU";2003;"AD";"Court";6,62161016949153;7,75537094855784;8,00635593220339;8,24580054479419;9,51449459093982;"Terrestre"
"CETCET";2003;"AD";"Court";11,2442396313364;13,4219916044776;13,8432371250707;14,4415322580645;15,6357398873528;"Terrestre"
"ERIRUB";2003;"AD";"Court";14,5423684210526;15,7152777777778;16,4507042253521;17,3785467128028;21,5032608695652;"Terrestre"
"FRICOE";2003;"AD";"Court";18,4518433765573;20,2498309668695;21,2345679012346;22,1063027940221;24,409756097561;"Terrestre"
"PARCAE";2003;"AD";"Court";9,49890510948905;10,3623188405797;10,7518796992481;11,171875;11,9166666666667;"Terrestre"
"PARMAJ";2003;"AD";"Court";15,293359611886;16,8701352853966;17,3273155416013;18,2497401247401;20,8333333333333;"Terrestre"
"PASDOM";2003;"AD";"Court";25,252688172043;26,6352201257862;28,0729166666667;28,25;29,2920833333333;"Terrestre"
"PHYCOL";2003;"AD";"Court";6,29429112554113;7,22241379310345;7,552;7,97402812241522;9,95700934579439;"Terrestre"
"PRUMOD";2003;"AD";"Court";15,9402462121212;18,2117100371747;19,0441176470588;20,0911182818451;22,0144927536232;"Terrestre"
"PYRULA";2003;"AD";"Court";19,1802254746835;20,9001731406203;21,8708860759494;22,897619047619;26,6520186335404;"Terrestre"
"SYLATR";2003;"AD";"Court";14,8986486486486;16,3885135135135;17,4078947368421;18,375;21,2446638509604;"Terrestre"
"TROTRO";2003;"AD";"Court";7,95978723404255;9,31;9,8;10,29;11,3982556100982;"Terrestre"
"TURMER";2003;"AD";"Court";76,3014110006322;83,6275464709514;87,3991935483871;90,7583041958042;103,244507786429;"Terrestre"
"TURPHI";2003;"AD";"Court";59,0365486725664;64,4335793752674;67,3789711934157;70,750442086649;85,4826630434783;"Terrestre"
"AEGCAU";2004;"AD";"Court";7,29780636621901;7,87096774193548;8,11706666666667;8,40107063403782;9,20314393939394;"Terrestre"
"CETCET";2004;"AD";"Court";11,7713513513514;13,4259602425876;15,0153846153846;15,25;15,8840928819444;"Terrestre"
"ERIRUB";2004;"AD";"Court";14,6730661155106;15,7837837837838;16,4753521126761;17,3577181208054;21,7472382336725;"Terrestre"
"FRICOE";2004;"AD";"Court";19,7117763631996;20,7586206896552;21,7471264367816;23,2122171945701;25,4720578566732;"Terrestre"
"PARCAE";2004;"AD";"Court";9,71847014925373;10,3516139657444;10,6716417910448;11,4227941176471;13,0334123368628;"Terrestre"
"PARMAJ";2004;"AD";"Court";15,5698051948052;16,9682768565249;17,6323891625616;18,5;20,0113636363636;"Terrestre"
"PASDOM";2004;"AD";"Court";22,184996371553;25,3353597601599;26,5337837837838;27,6805128205128;30,83;"Terrestre"
"PHYCOL";2004;"AD";"Court";6,55555555555556;7,23584905660377;7,52758620689655;8;9,65454545454545;"Terrestre"
"PRUMOD";2004;"AD";"Court";16,7627798507463;18,2447183098592;19;20;22,4792197011621;"Terrestre"
"PYRULA";2004;"AD";"Court";19,3282964939024;20,0498566650741;20,9347024700599;22,1803797468354;25,1383966265932;"Terrestre"
"SYLATR";2004;"AD";"Court";14,7;16,17;17,080985915493;18,1232876712329;21,529375;"Terrestre"
"TROTRO";2004;"AD";"Court";8,32087765957447;9,38297872340426;9,8989898989899;10,4255319148936;12,25;"Terrestre"
"TURMER";2004;"AD";"Court";77,8614560595995;83,9819994262765;87,2884615384615;91,259851215156;101,067996289425;"Terrestre"
"TURPHI";2004;"AD";"Court";60,0967471988796;64;66,7069439859139;71,0285490371697;79,9072749021314;"Terrestre"
"AEGCAU";2005;"AD";"Court";7,06079201101928;7,72301587301587;7,87096774193548;8,32742424242424;9,49025423728813;"Terrestre"
